City,Country,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Date
Bondo,CD,3.81,23.69,70.61,98,100,1.34,1597804570
Province of Trapani,IT,37.83,12.67,75.0,88,100,3.36,1597804570
Puerto Carreño,CO,6.19,-67.49,78.08,83,100,3.49,1597804570
São João da Barra,BR,-21.64,-41.05,73.09,80,0,23.35,1597804475
Yulara,AU,-25.24,130.99,64.4,27,0,9.17,1597804571
Paamiut,GL,61.99,-49.67,46.58,67,0,6.62,1597804572
Tambopata,PE,-12.73,-69.18,80.96,51,50,2.26,1597804572
Nha Trang,VN,12.25,109.18,89.6,66,75,1.12,1597804572
Yandyki,RU,45.77,47.13,74.7,32,98,6.64,1597804573
Guayaramerín,BO,-10.84,-65.36,79.29,39,0,3.04,1597804573
Bozeman,US,45.68,-111.04,86.0,22,1,3.36,1597804573
Codrington,AU,-38.27,141.97,54.46,72,72,17.4,1597804575
Skegness,GB,53.14,0.34,63.0,100,15,3.36,1597804575
Sinnamary,GF,5.38,-52.95,78.21,85,5,7.02,1597804576
Alyangula,AU,-13.85,136.42,82.4,54,26,9.17,1597804566
Hofn,IS,64.25,-15.21,48.15,83,100,18.12,1597804576
Būndi,IN,25.44,75.64,83.12,79,95,12.06,1597804577
Kolda,SN,12.88,-14.95,75.96,97,100,2.46,1597804389
Vardø,NO,70.37,31.11,51.51,86,100,9.04,1597804577
Lata,PT,40.16,-8.33,70.0,87,12,1.99,1597804578
El Viejo,NI,12.66,-87.17,78.91,88,100,2.35,1597804578
Durango,MX,24.83,-104.83,59.72,84,100,5.1,1597804495
Kongsberg,NO,59.67,9.65,61.0,88,84,0.43,1597804579
Mineral Wells,US,32.81,-98.11,84.2,37,1,6.93,1597804580
Umm Bāb,QA,25.21,50.81,87.01,79,1,6.93,1597804580
Narrabri,AU,-30.32,149.78,68.0,32,16,18.34,1597804580
Verkhnevilyuysk,RU,63.45,120.32,66.49,47,54,6.02,1597804582
Muaná,BR,-1.53,-49.22,77.68,87,16,7.09,1597804582
Beyneu,KZ,45.32,55.2,69.8,66,0,6.2,1597804582
Erzin,TR,36.96,36.2,78.01,88,25,1.5,1597804583
Uwajima,JP,33.22,132.56,84.2,74,20,6.93,1597804583
Arandis,NA,-22.42,14.97,55.02,35,0,21.03,1597804584
Bilma,NE,18.69,12.92,90.18,15,2,10.18,1597804584
Ternate,ID,0.8,127.4,81.72,75,78,11.99,1597804586
Mangai,CD,-4.05,19.53,75.18,74,0,2.44,1597804586
Lingyuan,CN,41.24,119.4,66.61,83,100,5.03,1597804586
Atar,MR,20.52,-13.05,88.93,41,33,6.69,1597804587
Solnechnogorsk,RU,56.18,36.98,50.0,87,77,4.47,1597804587
Urusha,RU,54.05,122.9,64.0,34,0,8.25,1597804588
Plouzané,FR,48.38,-4.62,66.2,93,100,19.46,1597804588
Kavieng,PG,-2.57,150.8,83.34,75,26,10.38,1597804589
Batemans Bay,AU,-35.72,150.18,62.01,56,88,4.0,1597804589
Varhaug,NO,58.61,5.65,61.0,99,66,3.0,1597804589
Cooma,AU,-36.23,149.13,46.4,70,75,12.75,1597804590
Rio Grande,BR,-32.03,-52.1,55.0,98,31,1.99,1597804364
Valparaíso,CL,-33.04,-71.63,51.01,68,100,8.3,1597804368
Kyren,RU,51.68,102.14,73.11,48,0,1.41,1597804591
Vila,PT,42.03,-8.16,70.0,93,75,11.41,1597804591
Tarakan,ID,3.3,117.63,80.8,79,95,7.11,1597804592
Barra de Tecoanapa,MX,16.52,-98.75,81.39,83,82,8.7,1597804399
Nandyāl,IN,15.48,78.48,79.83,77,100,11.95,1597804593
Harar,ET,9.31,42.13,59.2,93,100,7.38,1597804594
Pak Phanang,TH,8.35,100.2,87.8,74,20,4.36,1597804594
Fort Collins,US,40.59,-105.08,86.0,23,20,6.93,1597804373
Jalu,LY,29.03,21.55,76.98,48,0,8.79,1597804595
Abu Dhabi,AE,24.47,54.37,91.4,75,36,3.36,1597804548
Sitka,US,57.05,-135.33,57.2,87,90,3.78,1597804495
Aktobe,KZ,50.28,57.21,46.4,81,0,4.47,1597804597
Tual,ID,-5.67,132.75,78.28,84,16,14.16,1597804598
Araouane,ML,18.9,-3.53,90.79,34,63,6.38,1597804598
Port-Gentil,GA,-0.72,8.78,75.22,88,100,14.88,1597804526
Datong,CN,40.09,113.29,70.65,52,100,4.43,1597804599
Umba,RU,66.69,34.34,50.5,82,15,4.61,1597804600
Ipilan,PH,8.84,117.9,79.18,82,100,8.55,1597804600
Wanaka,NZ,-44.7,169.15,50.22,76,88,1.36,1597804601
Tommot,RU,58.96,126.29,63.27,48,98,9.4,1597804601
Orlik,RU,52.52,99.83,66.58,49,45,2.08,1597804602
Lamu,KE,-2.27,40.9,75.54,81,99,13.27,1597804602
Kintampo,GH,8.06,-1.73,70.0,99,100,5.75,1597804602
George Town,MY,5.41,100.34,84.2,83,20,4.7,1597804603
Praia,CV,14.92,-23.51,82.4,83,40,4.7,1597804603
Solnechnyy,RU,50.72,136.63,65.48,55,29,2.51,1597804603
Waterloo,CA,43.47,-80.52,59.0,76,1,6.93,1597804604
San Miguelito,PA,9.03,-79.5,78.8,94,100,4.7,1597804604
Pavlodol'skaya,RU,43.72,44.48,51.8,93,0,8.95,1597804605
Itarema,BR,-2.92,-39.92,77.58,79,14,16.67,1597804605
Avera,US,33.19,-82.53,73.4,86,1,6.78,1597804311
São Félix do Xingu,BR,-6.64,-51.99,78.4,54,43,1.36,1597804607
Champerico,GT,14.3,-91.92,76.59,88,100,10.04,1597804607
Mbala,ZM,-8.84,31.37,58.35,50,36,7.02,1597804607
Bokovskaya,RU,49.23,41.83,67.87,70,55,0.36,1597804608
Shingū,JP,33.73,135.98,93.2,56,40,6.93,1597804608
Shenjiamen,CN,29.96,122.3,83.32,80,0,12.46,1597804609
Anadyr,RU,64.75,177.48,59.0,51,40,11.18,1597804609
Montepuez,MZ,-13.13,39.0,61.57,99,91,1.83,1597804610
Zhangjiakou,CN,40.81,114.88,70.56,61,100,3.58,1597804610
Palana,RU,59.12,159.97,52.21,98,100,6.64,1597804611
Valdivia,CL,-39.81,-73.25,33.8,100,0,2.19,1597804611
Abaeté,BR,-19.16,-45.45,69.19,66,0,6.17,1597804612
Las Vegas,US,36.17,-115.14,107.6,12,1,9.17,1597803962
Vytegra,RU,61.01,36.45,49.87,78,23,2.24,1597804613
Payson,US,40.04,-111.73,89.01,35,40,10.29,1597804613
Pacific Grove,US,36.62,-121.92,78.01,50,90,6.93,1597804319
Waddān,LY,29.16,16.14,77.49,33,0,1.83,1597804614
Changji,CN,44.02,87.32,71.6,49,100,2.24,1597804615
Bushehr,IR,28.97,50.84,86.0,74,0,9.26,1597804615
Chenzhou,CN,25.8,113.03,91.36,51,73,1.7,1597804615
Ocampo,MX,21.65,-101.5,59.74,80,100,11.92,1597804616
Turukhansk,RU,65.82,87.98,68.36,45,0,17.13,1597804616
Palauig,PH,15.44,119.9,84.79,71,99,3.94,1597804365
Marquette,US,46.53,-87.63,60.01,71,90,0.56,1597804617
Kendari,ID,-3.94,122.5,84.56,52,0,3.83,1597804449
Zaragoza,ES,41.66,-0.88,73.0,64,20,2.24,1597804500
Māngrol,IN,21.12,70.12,82.71,83,100,18.7,1597804401
Paraná,AR,-31.73,-60.52,59.0,31,0,8.99,1597804621
Hamilton,US,39.18,-84.53,66.99,93,90,8.77,1597804621
Iskateley,RU,67.68,53.15,52.05,92,100,9.06,1597804508
Martapura,ID,-3.42,114.85,84.2,58,20,2.24,1597804622
Sayyan,YE,15.17,44.32,63.97,56,80,1.07,1597804622
Cairns,AU,-16.92,145.77,80.01,61,60,10.29,1597804331
Pierre,US,44.37,-100.35,80.01,65,1,9.17,1597804623
Xuanzhou,CN,30.95,118.76,94.48,54,0,1.28,1597804624
Harboøre,DK,56.62,8.18,59.0,25,1,5.01,1597804624
Negombo,LK,7.21,79.84,82.4,78,75,4.7,1597804625
Sabzawār,IR,36.21,57.68,69.96,31,0,11.21,1597804625
Arrondissement de Bastia,FR,42.67,9.33,75.99,68,0,3.36,1597804485
Tura,IN,25.52,90.22,82.62,76,11,5.48,1597804626
Kloulklubed,PW,7.04,134.26,84.2,79,75,8.05,1597804500
Porto-Novo,BJ,6.5,2.6,75.2,94,40,10.29,1597804628
Campbell River,CA,50.02,-125.24,71.6,60,75,3.36,1597804506
Okato,NZ,-39.2,173.88,57.0,82,100,14.0,1597804629
Haines Junction,CA,60.75,-137.51,58.69,70,24,1.92,1597804630
Maple Creek,CA,49.92,-109.48,83.61,27,53,8.72,1597804630
Paracatu,BR,-17.22,-46.87,68.77,52,0,4.29,1597804598
Rūdbār,AF,30.15,62.6,78.91,26,9,15.46,1597804632
Monte Alegre de Minas,BR,-18.87,-48.88,77.0,44,1,13.87,1597804632
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,59.0,72,40,15.66,1597804535
Iquique,CL,-20.22,-70.14,60.8,63,90,13.87,1597804367
Puerto Madryn,AR,-42.77,-65.04,37.96,76,12,25.57,1597804633
Teófilo Otoni,BR,-17.86,-41.51,66.78,92,59,3.18,1597804634
Teguise,ES,29.06,-13.56,71.6,83,0,25.28,1597804634
Akureyri,IS,65.68,-18.09,50.0,71,90,5.82,1597804635
Elizabeth City,US,36.29,-76.25,75.0,92,100,5.37,1597804402
Amarante do Maranhão,BR,-5.57,-46.74,81.21,41,49,3.2,1597804637
Mayor Pablo Lagerenza,PY,-19.93,-60.77,79.12,47,17,1.3,1597804637
Novotroitsk,RU,51.2,58.33,48.2,81,0,15.66,1597804638
Eqbālīyeh,IR,35.3,51.54,78.01,30,0,6.93,1597804638
Henties Bay,NA,-22.12,14.28,54.64,60,0,4.16,1597804639
Panguna,PG,-6.32,155.48,76.78,88,38,1.72,1597804640
Kalabo,ZM,-14.97,22.68,57.69,33,0,8.59,1597804640
Umluj,SA,25.02,37.27,84.63,57,20,7.47,1597804641
Gangāwati,IN,15.43,76.53,77.49,77,100,17.49,1597804642
Georgiyevskoye,RU,58.73,45.02,43.59,85,0,7.45,1597804642
Lewistown,US,40.6,-77.57,70.0,64,1,3.15,1597804643
Aasiaat,GL,68.71,-52.87,46.56,60,34,9.93,1597804644
Lamar,US,33.67,-95.58,78.01,64,1,4.7,1597804644
Alpinópolis,BR,-20.86,-46.39,68.59,55,17,8.34,1597804645
Santa Isabel Rio Negro,BR,-0.41,-65.02,76.51,83,100,1.25,1597804646
Bozhou,CN,33.88,115.77,87.13,79,87,4.54,1597804647
Samarkand,UZ,39.65,66.96,64.4,63,0,2.24,1597804648
Bay City,US,43.59,-83.89,62.6,67,1,3.36,1597804406
Padang,ID,-0.95,100.35,84.22,63,98,2.28,1597804649
Mocuba,MZ,-16.84,36.99,66.42,71,0,4.12,1597804649
Coahuayana Viejo,MX,18.73,-103.68,76.39,81,100,3.11,1597804649
Ponca City,US,36.71,-97.09,78.8,54,1,8.52,1597804535
Norman Wells,CA,65.28,-126.83,59.0,77,75,2.93,1597804650
Omboué,GA,-1.57,9.26,74.32,88,100,9.42,1597804651
Baihar,IN,22.1,80.55,76.39,92,94,6.8,1597804651
Kutum,SD,14.2,24.67,74.93,63,100,5.48,1597804651
Dongsheng,CN,39.82,109.98,69.8,47,0,7.47,1597804652
Wasilla,US,61.58,-149.44,57.99,93,90,2.04,1597804653
